id,job_hash,title,company,location,salary,experience,level,skills,requirements,posted_at,source_url,source_platform,crawl_time,created_at,updated_at,job_type,mode,field
4850,0ef5df8b8fd7fceeb55aa59433bd1de76ec6a6acae1bc874ff38c980cb49b589,"[Toàn Quốc] Tập Đoàn Hoa Sen Tuyển Dụng Quản Trị Viên Dự Nguồn Hoa Sen Home 2026 (Lương Tối Thiểu 12 Triệu++/Tháng, Thưởng & Chế Độ Phúc Lợi Hấp Dẫn, Lộ Trình Phát Triển Sự Nghiệp Rõ Ràng)",TẬP ĐOÀN HOA SEN,Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Khác,Từ 10 Triệu,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Bán hàng (Sales)"", ""Marketing"", ""Truyền Thông, PR"", ""Dịch vụ khách hàng/ Vận hành"", ""Hành chính"", ""Nhân sự"", ""Business/ Data Analyst"", ""Business Intelligence (Phân Tích Kinh Doanh)"", ""Product Development (Phát Triển Sản Phẩm)""]","Ứng viên Nam, sắp/đã tốt nghiệp Đại học/sau ĐH xếp loại Giỏi. Trung thực, năng động, trách nhiệm, chịu khó, ham học hỏi, giao tiếp tốt. Không yêu cầu kinh nghiệm, có thể đi công tác.",2026-06-02T00:00:00.000Z,https://ybox.vn/tuyen-dung/toan-quoc-tap-doan-hoa-sen-tuyen-dung-quan-tri-vien-du-nguon-hoa-sen-home-2026-luong-toi-thieu-12-trieu-thang-thuong-and-che-do-phuc-loi-hap-dan-lo-trinh-phat-trien-su-nghiep-ro-rang-6a1e7a5c7faa6f72a8ecd23d,ybox,2026-06-15 21:40:38.281+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"Xây Dựng, Thiết kế Kiến Trúc, Nội Thất"
4854,f4e4483b68895639d8dc7640597736ffbe7299168ce598f0ac40b952526dfd6b,[HCM] Công Ty Hype Reel Vietnam Tuyển Dụng Nhân Viên 2D Artist (Junior)/Kĩ Thuật VFX (Junior) Full-time 2026,CÔNG TY HYPE REEL VIETNAM,Hồ Chí Minh,Thỏa thuận,Yêu cầu ứng viên có kinh nghiệm,Intern,"[""Thiết Kế (Đồ Hoạ"", ""Web)"", ""Chỉnh Sửa Video (Video Editor)""]","có kinh nghiệm - Mức lương: Thỏa thuận JOB DESCRIPTION Create and edit 2D assets, including characters, environments, UI elements, and marketing visuals. Support senior artists with asset production, revisions, and visual polish. Work with VFX artists to create supporting visual effects and game-ready assets. Use AI tools to assist with concept generation and asset creation. Prepare and organize assets for implementation. Collaborate with artists, designers, and developers to ensure assets meet project requirements. REQUIREMENTS Around 6 months to 1 year of experience in digital art, graphic design, or game art. Proficient in Adobe Photoshop. Familiarity with Eagle and AI-powered art tools. Basic understanding of composition, lighting, perspective, and color. Strong attention to detail and willingness to learn. Good communication and teamwork skills. Able to take feedback and iterate quickly. Nice to Have Adobe Illustrator. Basic UI/UX knowledge. Familiarity with Blender. Experience creating assets for games.z Additional Information: Full-time, on-site in Ho Chi Minh City. English: Basic conversational or above.",2026-06-09T00:00:00.000Z,https://ybox.vn/tuyen-dung/hcm-cong-ty-hype-reel-vietnam-tuyen-dung-nhan-vien-2d-artist-junior-ki-thuat-vfx-junior-full-time-2026-6a27b9ece835ed27183ac869,ybox,2026-06-15 21:40:51.201+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …); Giải trí, Ca Nhạc, Điện Ảnh, Nghệ Thuật, Văn Hoá, .."
4855,9b72588137d6c544125540161384e111b57dec3fc7e2066020c3852ef9f3221b,[HCM] Công Ty Kinh Doanh Nội Thất Tuyển Dụng Thực Tập Sinh Quản Trị Website Part-time/Full-time 2026,CÔNG TY KINH DOANH NỘI THẤT KHÁNH VY HOME,Hồ Chí Minh,Thỏa thuận,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình""]",". Làm việc tại: 113/9 Ao Đôi, phường Bình Trị Đông, TPHCM YÊU CẦU ỨNG VIÊN Ưu tiên sinh viên năm 3, năm 4. hoặc đã tốt nghiệp các trường Đại học/Cao đẳng Công nghệ thông tin,… hoặc các ngành liên quan. Ưu tiên ứng viên có thể thực tập full time. Có kiến thức cơ bản về web, sẽ đc hướng dẫn thêm. Có khả năng tự tìm tòi học hỏi. Nhanh nhẹn, chịu khó, chủ động, trách nhiệm trong công việc. Có máy tính cá nhân.",2026-06-09T00:00:00.000Z,https://ybox.vn/tuyen-dung/hcm-cong-ty-kinh-doanh-noi-that-tuyen-dung-thuc-tap-sinh-quan-tri-website-part-time-full-time-2026-6a279bb93ad2f5272bcd3b30,ybox,2026-06-15 21:40:53.841+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Part-time | Full-time | Intern,Thực tập; Toàn thời gian; Bán thời gian,"Bán lẻ, Hàng tiêu dùng, FMCG; Khác"
4856,1a38cfc6e05c57aa4bf69b8a74c4fd1a40518ca405c0d8dd517711bc21b4b018,[HN] Công Ty Cennext Tuyển Dụng Technical Specialist Full-time 2026,unknown,Hà Nội,Thỏa thuận,Yêu cầu ứng viên có kinh nghiệm,Intern,"[""Lập trình""]","có kinh nghiệm - Mức lương: Thỏa thuận JOB DESCRIPTION Work closely with the third-party vendor during the Odoo implementation phase. Learn and document the system architecture, custom modules, business workflows, and deployment setup. Develop, customize, and maintain Odoo modules based on business requirements. Debug and resolve Odoo technical issues, including backend errors, module conflicts, and deployment problems. Support Odoo running in Docker on a cloud-hosted environment. Work with PostgreSQL for data investigation, queries, and troubleshooting. Review vendor-developed customizations and understand how they work. Assist internal teams in converting business needs into technical requirements. Create and maintain technical documentation for modules, configurations, deployments, and custom features. Support system testing, user acceptance testing, go-live preparation, and post-go-live support. Help improve the system over time by building new features, automations, reports, and integrations. REQUIREMENTS 3+ years experience with Odoo development. Strong knowledge of Python, experience developing or customizing Odoo modules. Understanding of Odoo models, views, actions, menus, security rules, access rights, and workflows. Experience working with PostgreSQL. Basic experience with Docker or Docker Compose. Comfortable working in a Linux server environment. Experience using Git for version control. Ability to read, understand, and maintain code written by another developer or vendor. Good debugging and problem-solving skills. Ability to communicate with both technical and non-technical users. Willingness to learn the company’s business processes and understand how they are implemented in Odoo. Nice to Have Experience deploying Odoo in a cloud environment. Experience with Docker-based Odoo production setups. Knowledge of Nginx, SSL, backups, monitoring, and server maintenance. Experience with Odoo integrations using APIs. Experience with accounting, inventory, sale",,https://ybox.vn/tuyen-dung/hn-cong-ty-cennext-tuyen-dung-technical-specialist-full-time-2026-6a1a59e83604f572a38611b4,ybox,2026-06-15 21:40:56.489+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"E-commerce, Thương Mại Điện Tử, Bán Hàng Online"
4857,1bc42a10b690e1c162484f8e28cd479085d9641e9d882c922b4c208573c457fd,[HN] Công Ty Hotx Holding Group Tuyển Dụng Nhân Viên Kỹ Thuật Tiếng Trung Full-time 2026,CÔNG TY HOTX HOLDING GROUP,Hà Nội,Từ 15 Triệu,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình""]","Tại sao bạn nên gia nhập Hotx Holding Group l Thu nhập xứng đáng với năng lực: lương cứng cạnh tranh đi kèm thưởng hiệu suất làm việc hấp dẫn (Lương cứng: 12 - 25 Tr/th + thưởng dự án + thưởng KPI ) l Lộ trình phát triển rõ ràng, tạo điều kiện để bạn bứt phá và tiến xa hơn trong sự nghiệp. l Cơ hội phát triển trong lĩnh vực công nghệ tiên tiến, thừa hưởng nền tảng và định hướng từ công ty mẹ tại Thẩm Quyến (Trung Quốc). l",2026-05-30T00:00:00.000Z,https://ybox.vn/tuyen-dung/hn-cong-ty-hotx-holding-group-tuyen-dung-nhan-vien-ky-thuat-tieng-trung-full-time-2026-6a1a534c8bd4aa728d02402d,ybox,2026-06-15 21:40:59.157+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
4858,33e49fbafcd16d61af1875a854db7058581744997e49673ae79c57849c87371f,[HN] Công Ty Công Nghệ Và Truyền Thông BYSCOM Tuyển Dụng Nhân Viên Trực Tool/Vận Hành Sàn Thương Mại Điện Tử/Vận Hành Tiktok Affiliate Full-time 2026,CÔNG TY CÔNG NGHỆ VÀ TRUYỀN THÔNG BYSCOM,Hà Nội,Từ 1 Triệu,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình"", ""Kỹ sư điện tử"", ""Cơ khí"", ""Khác""]","Nam dưới 25 tuổi, Tốt nghiệp Cao đẳng trở lên, chấp nhận sinh viên mới ra trường Có thái độ hòa đồng, học hỏi ,tiếp thu nhanh, cầu tiến và làm việc nhóm tốt Làm việc fulltime",2026-05-28T00:00:00.000Z,https://ybox.vn/tuyen-dung/hn-co-ng-ty-co-ng-nghe-va-truye-n-tho-ng-byscom-tuyen-dung-nhan-vien-truc-tool-van-hanh-san-thuong-mai-dien-tu-van-hanh-tiktok-affiliate-full-time-2026-6a17b6dbbcade63afbc212ce,ybox,2026-06-15 21:41:04.396+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"E-commerce, Thương Mại Điện Tử, Bán Hàng Online"
4859,1e201b2207522dba00f72c0f7337dc4328533413d897804acd43ab3891599e02,[HCM] Công Ty Giải Pháp Chuyên Gia Star Global 3D Tuyển Dụng Thực Tập Sinh Công Nghệ Full-time 2026,CÔNG TY GIẢI PHÁP CHUYÊN GIA STAR GLOBAL 3D,Hồ Chí Minh,Từ 1 Triệu,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình""]","Sinh viên năm cuối hoặc vừa tốt nghiệp các ngành: Công nghệ thông tin, Khoa học máy tính, Toán tin, Kỹ thuật phần mềm,... Có kiến thức cơ bản về Machine Learning và hiểu về các mô hình ngôn ngữ lớn (LLM: GPT, BERT, Llama...). Biết Sử dụng Python + Nodejs . Biết sử dụng các nền tảng no-code/low-code để triển khai AI là một lợi thế. Có tư duy logic, kỹ năng giải quyết vấn đề tốt. Có khả năng làm việc độc lập và làm việc nhóm tốt. Có kiến thức cơ bản về các nền tảng thiết kế website (các PHP framework như laravel, codeigniter; các CMS wordpress, joomla,..) Thực tập fulltime trong 06 tháng; Có laptop cá nhân.",2026-05-27T00:00:00.000Z,https://ybox.vn/tuyen-dung/hcm-cong-ty-giai-phap-chuyen-gia-star-global-3d-tuyen-dung-thuc-tap-sinh-cong-nghe-full-time-2026-6a1693a7768a637bfa05a1be,ybox,2026-06-15 21:41:06.97+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time | Intern,Toàn thời gian; Thực tập,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
4860,bfff2032667e985e530db55748c07afcdf6a97d51603bd111e4c9acdf7b84ca8,[HN] Công Ty Công Nghệ Asim Group Tuyển Dụng Chuyên Viên Kế Toán Tổng Hợp Full-time 2026,ASIM GROUP,Hà Nội,Thỏa thuận,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình"", ""Khác""]",có kinh nghiệm - Mức lương: Thỏa thuận 1.,2026-05-27T00:00:00.000Z,https://ybox.vn/tuyen-dung/hn-cong-ty-cong-nghe-asim-group-tuyen-dung-chuyen-vien-ke-toan-tong-hop-full-time-2026-6a171b540153fc3b00c9728c,ybox,2026-06-15 21:41:09.542+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time,Toàn thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
4861,052029088eecc26597a66ad576897ec077cbb16dbd38f0b55088749d3f59afc8,[HN/HCM] Chương Trình Thực Tập Sinh Tài Năng Talent Internship Program Tại Công Ty Nghiên Cứu Và Phát Triển Các Giải Pháp Robot Vinmotion Full-time 2026,VINMOTION (VINGROUP),Hà Nội; Hồ Chí Minh,Thỏa thuận,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Lập trình"", ""Hành chính"", ""Nhân sự"", ""Kỹ sư điện tử"", ""Cơ khí"", ""Business/ Data Analyst"", ""Business Intelligence (Phân Tích Kinh Doanh)"", ""Product Development (Phát Triển Sản Phẩm)"", ""Tài chính"", ""Chứng khoán"", ""Ngân Hàng"", ""Khác""]","có kinh nghiệm - Mức lương: Thỏa thuận VINMOTION TALENT INTERNSHIP PROGRAM 2026 Your Career Accelerator in the Robotics & AI Revolution VinMotion chính thức khởi động Talent Internship Program – chương trình thực tập sinh tài năng với lộ trình Intern to Staff, dành cho những sinh viên xuất sắc mong muốn xây dựng sự nghiệp dài hạn trong lĩnh vực Robotics & AI Đây là cơ hội để bạn được học hỏi, cọ xát và trực tiếp tham gia vào các dự án công nghệ lõi, tạo ra những sản phẩm robot ứng dụng trong thực tế. Chúng tôi đang tìm kiếm: Sinh viên năm cuối các ngành Robotics, AI,Công nghệ thông tin, Khoa học Máy tính, Cơ khí, Điện – Điện tử hoặc các lĩnh vực liên quan Ứng viên đến từ các trường đại học hàng đầu là một lợi thế Có tư duy phân tích, khả năng giải quyết vấn đề tốt Đam mê robotics, AI và các bài toán công nghệ thực tiễn",2026-05-22T00:00:00.000Z,https://ybox.vn/tuyen-dung/hn-hcm-chuong-trinh-thuc-tap-sinh-tai-nang-talent-internship-program-tai-cong-ty-nghien-cuu-va-phat-trien-cac-giai-phap-robot-vinmotion-full-time-2026-6a108af01edbb84fb1900fab,ybox,2026-06-15 21:41:12.188+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Full-time | Intern,Thực tập; Toàn thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
4862,fb45b0b2046df4e955f16a2cce20367833b2bf6c3ab14538db61ec2fa89453e9,[HCM] Công Ty Thương Mại Và Dịch Vụ CARESNOVA Tuyển Dụng Nhân Viên Sales/Kỹ Thuật Part-time/Full-time 2026,CÔNG TY THƯƠNG MẠI VÀ DỊCH VỤ CARESNOVA,Hồ Chí Minh,Thỏa thuận,Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!,Intern,"[""Bán hàng (Sales)""]",có kinh nghiệm - Mức lương: Thỏa thuận,2026-05-12T00:00:00.000Z,https://ybox.vn/tuyen-dung/hcm-cong-ty-thuong-mai-va-dich-vu-caresnova-tuyen-dung-nhan-vien-sales-ky-thuat-part-time-full-time-2026-6a02e6443fe5dd030a6688cb,ybox,2026-06-15 21:41:14.758+00,2026-06-15 21:44:57.505476+00,2026-06-15 21:44:57.505476+00,Part-time | Full-time,Toàn thời gian; Bán thời gian,"IT (Lập trình, Công nghệ thông tin, Internet, …)"
